origin;destination;num_orders
SERGNANO;SPINO D'ADDA;63
PESCAROLO ED UNITI;SORESINA;62
PIADENA DRIZZONA;CASTELLEONE;62
CAPRALBA;PANDINO;62
GADESCO PIEVE DELMONA;PANDINO;62
GUSSOLA;OFFANENGO;62
MONTODINE;CREMA;62
PIADENA DRIZZONA;RIVOLTA D'ADDA;61
CASTELLEONE;FIESCO;61
SERGNANO;CASALMAGGIORE;61
SPINO D'ADDA;BAGNOLO CREMASCO;61
PIADENA DRIZZONA;MONTE CREMASCO;61
RIVOLTA D'ADDA;PESCAROLO ED UNITI;60
BAGNOLO CREMASCO;PERSICO DOSIMO;60
OFFANENGO;SOLAROLO RAINERIO;60
GADESCO PIEVE DELMONA;MADIGNANO;60
BRESCIA;IZANO;60
CENTRO FUMETTO A. PAZIENZA;CAPERGNANICA;59
MONTODINE;BRESCIA;59
RIVOLTA D'ADDA;ROMANENGO;59
MARTIGNANA DI PO;OFFANENGO;59
CREMA;SOLAROLO RAINERIO;59
CASALMAGGIORE;SOLAROLO RAINERIO;58
PESCAROLO ED UNITI;SONCINO;58
CASALMAGGIORE;RICENGO;58
PIANENGO;PIANENGO;58
BONEMERSE;CREMA;58
SOLAROLO RAINERIO;MADIGNANO;58
VAILATE;OFFANENGO;58
CASTELLEONE;VAIANO CREMASCO;58
OFFANENGO;VAIANO CREMASCO;58
MADIGNANO;MADIGNANO;58
GADESCO PIEVE DELMONA;SONCINO;58
CASTELLEONE;CENTRO FUMETTO A. PAZIENZA;58
BAGNOLO CREMASCO;CAPRALBA;57
CINGIA DE' BOTTI;OFFANENGO;57
GRONTARDO;OFFANENGO;57
CASALMAGGIORE;Agnadello;57
CAPRALBA;SORESINA;57
OFFANENGO;PIZZIGHETTONE;57
SERGNANO;TRESCORE CREMASCO;57
CASTELLEONE;VESCOVATO;57
CENTRO FUMETTO A. PAZIENZA;MADIGNANO;57
SPINO D'ADDA;RIPALTA CREMASCA;57
CASTELLEONE;UNIONE MUNICIPIA;57
VESCOVATO;SORESINA;56
OFFANENGO;DOVERA;56
PIADENA DRIZZONA;PERSICO DOSIMO;56
PIANENGO;SONCINO;56
SORESINA;SONCINO;56
MONTE CREMASCO;BRESCIA;56
CASTELLEONE;CAPERGNANICA;55
SOLAROLO RAINERIO;CASTELLEONE;55
OFFANENGO;BONEMERSE;55
PIANENGO;PANDINO;55
VESCOVATO;MADIGNANO;55
CREMA;CENTRO FUMETTO A. PAZIENZA;55
BAGNOLO CREMASCO;MONTODINE;55
Agnadello;SORESINA;54
PIADENA DRIZZONA;ISOLA DOVARESE;54
CASTELLEONE;GUSSOLA;54
GADESCO PIEVE DELMONA;MONTE CREMASCO;54
CASALMAGGIORE;MONTODINE;54
OFFANENGO;PALAZZO PIGNANO;53
SERGNANO;VESCOVATO;53
CAPRALBA;MONTODINE;53
CREMA;TRIGOLO;53
PIADENA DRIZZONA;PIANENGO;53
RIVOLTA D'ADDA;BONEMERSE;53
SONCINO;MADIGNANO;53
BRESCIA;OSTIANO;53
MADIGNANO;MONTE CREMASCO;53
CASALMAGGIORE;PESCAROLO ED UNITI;53
CASALMAGGIORE;VESCOVATO;53
SOLAROLO RAINERIO;SORESINA;52
ROMANENGO;OFFANENGO;52
RIVOLTA D'ADDA;VESCOVATO;52
CREMONA - CDA;CREMONA - CDA;52
SAN GIOVANNI IN CROCE;MADIGNANO;52
SORESINA;MADIGNANO;52
GADESCO PIEVE DELMONA;TRESCORE CREMASCO;51
PANDINO;SONCINO;51
OFFANENGO;ROMANENGO;51
CREMA;ROMANENGO;51
PESCAROLO ED UNITI;MONTE CREMASCO;51
MADIGNANO;PANDINO;51
SERGNANO;RICENGO;51
CASALETTO VAPRIO;CREMA;51
BAGNOLO CREMASCO;SAN GIOVANNI IN CROCE;50
BAGNOLO CREMASCO;RICENGO;50
PALAZZO PIGNANO;SORESINA;50
SERGNANO;SAN GIOVANNI IN CROCE;50
CREMA;CINGIA DE' BOTTI;50
DOVERA;PANDINO;50
CASALBUTTANO;CREMA;49
PIZZIGHETTONE;SORESINA;49
RIVOLTA D'ADDA;PIZZIGHETTONE;49
RIVOLTA D'ADDA;VAIANO CREMASCO;49
CASALMAGGIORE;BAGNOLO CREMASCO;49
SPINO D'ADDA;PIANENGO;48
RICENGO;OFFANENGO;48
CASTELLEONE;BONEMERSE;48
VAIANO CREMASCO;OFFANENGO;48
VAILATE;VAILATE;48
SPINO D'ADDA;SPINO D'ADDA;48
MONTE CREMASCO;OFFANENGO;48
CAPERGNANICA;BRESCIA;48
SAN GIOVANNI IN CROCE;SOSPIRO;48
CASALMAGGIORE;ISOLA DOVARESE;48
CASALMAGGIORE;SERGNANO;48
PALAZZO PIGNANO;MADIGNANO;48
PIZZIGHETTONE;SONCINO;48
PIADENA DRIZZONA;SPINO D'ADDA;48
SPINO D'ADDA;CREMONA - CDA;47
