;data_richiesta;biblioteca_destinazione
Agnadello;2018-07-28;6
Agnadello;2018-07-29;2
Agnadello;2018-07-30;2
Agnadello;2018-07-31;1
Agnadello;2018-08-01;1
Agnadello;2018-08-03;1
Agnadello;2018-08-04;2
Agnadello;2018-08-07;4
Agnadello;2018-08-16;1
Agnadello;2018-08-19;1
Agnadello;2018-08-21;1
Agnadello;2018-08-25;2
Agnadello;2018-08-27;2
Agnadello;2018-08-28;2
Agnadello;2018-08-29;1
Agnadello;2018-08-31;2
Agnadello;2018-09-01;8
Agnadello;2018-09-04;1
Agnadello;2018-09-05;2
Agnadello;2018-09-07;2
Agnadello;2018-09-08;4
Agnadello;2018-09-10;2
Agnadello;2018-09-11;1
Agnadello;2018-09-12;3
Agnadello;2018-09-13;2
Agnadello;2018-09-14;1
Agnadello;2018-09-15;3
Agnadello;2018-09-17;2
Agnadello;2018-09-18;2
Agnadello;2018-09-19;1
Agnadello;2018-09-20;3
Agnadello;2018-09-21;5
Agnadello;2018-09-22;5
Agnadello;2018-09-24;8
Agnadello;2018-09-25;1
Agnadello;2018-09-28;1
Agnadello;2018-09-29;5
Agnadello;2018-09-30;1
Agnadello;2018-10-02;1
Agnadello;2018-10-03;3
Agnadello;2018-10-04;1
Agnadello;2018-10-05;3
Agnadello;2018-10-07;2
Agnadello;2018-10-08;1
Agnadello;2018-10-09;3
Agnadello;2018-10-10;2
Agnadello;2018-10-11;3
Agnadello;2018-10-12;4
Agnadello;2018-10-13;4
Agnadello;2018-10-14;1
Agnadello;2018-10-15;1
Agnadello;2018-10-16;1
Agnadello;2018-10-17;3
Agnadello;2018-10-19;4
Agnadello;2018-10-20;5
Agnadello;2018-10-21;1
Agnadello;2018-10-22;3
Agnadello;2018-10-23;1
Agnadello;2018-10-24;2
Agnadello;2018-10-25;3
Agnadello;2018-10-26;2
Agnadello;2018-10-29;1
Agnadello;2018-11-02;1
Agnadello;2018-11-05;4
Agnadello;2018-11-07;4
Agnadello;2018-11-08;4
Agnadello;2018-11-09;2
Agnadello;2018-11-10;1
Agnadello;2018-11-12;1
Agnadello;2018-11-14;7
Agnadello;2018-11-16;2
Agnadello;2018-11-17;1
Agnadello;2018-11-19;1
Agnadello;2018-11-20;2
Agnadello;2018-11-21;1
Agnadello;2018-11-22;1
Agnadello;2018-11-23;1
Agnadello;2018-11-24;3
Agnadello;2018-11-26;1
Agnadello;2018-11-27;3
Agnadello;2018-11-28;3
Agnadello;2018-11-29;1
Agnadello;2018-11-30;1
Agnadello;2018-12-01;1
Agnadello;2018-12-03;2
Agnadello;2018-12-05;1
Agnadello;2018-12-06;2
Agnadello;2018-12-07;2
Agnadello;2018-12-10;3
Agnadello;2018-12-11;1
Agnadello;2018-12-12;3
Agnadello;2018-12-14;1
Agnadello;2018-12-15;2
Agnadello;2018-12-18;3
Agnadello;2018-12-19;1
Agnadello;2018-12-20;1
Agnadello;2018-12-21;2
Agnadello;2018-12-22;1
Agnadello;2018-12-25;1
Agnadello;2018-12-29;1
BAGNOLO CREMASCO;2016-01-02;2
BAGNOLO CREMASCO;2016-01-03;1
BAGNOLO CREMASCO;2016-01-04;1
BAGNOLO CREMASCO;2016-01-05;13
BAGNOLO CREMASCO;2016-01-06;1
BAGNOLO CREMASCO;2016-01-07;7
BAGNOLO CREMASCO;2016-01-08;8
BAGNOLO CREMASCO;2016-01-10;3
BAGNOLO CREMASCO;2016-01-11;4
BAGNOLO CREMASCO;2016-01-12;7
BAGNOLO CREMASCO;2016-01-13;8
BAGNOLO CREMASCO;2016-01-14;3
BAGNOLO CREMASCO;2016-01-15;3
BAGNOLO CREMASCO;2016-01-16;4
BAGNOLO CREMASCO;2016-01-18;3
BAGNOLO CREMASCO;2016-01-19;11
BAGNOLO CREMASCO;2016-01-20;9
BAGNOLO CREMASCO;2016-01-21;3
BAGNOLO CREMASCO;2016-01-22;5
BAGNOLO CREMASCO;2016-01-25;5
BAGNOLO CREMASCO;2016-01-26;8
BAGNOLO CREMASCO;2016-01-27;11
BAGNOLO CREMASCO;2016-01-28;2
BAGNOLO CREMASCO;2016-01-29;8
BAGNOLO CREMASCO;2016-01-30;2
BAGNOLO CREMASCO;2016-01-31;1
BAGNOLO CREMASCO;2016-02-01;1
BAGNOLO CREMASCO;2016-02-02;8
BAGNOLO CREMASCO;2016-02-03;9
BAGNOLO CREMASCO;2016-02-04;3
BAGNOLO CREMASCO;2016-02-05;9
BAGNOLO CREMASCO;2016-02-07;1
BAGNOLO CREMASCO;2016-02-08;2
BAGNOLO CREMASCO;2016-02-09;5
BAGNOLO CREMASCO;2016-02-10;2
BAGNOLO CREMASCO;2016-02-11;5
BAGNOLO CREMASCO;2016-02-12;9
BAGNOLO CREMASCO;2016-02-13;2
BAGNOLO CREMASCO;2016-02-14;2
BAGNOLO CREMASCO;2016-02-15;3
BAGNOLO CREMASCO;2016-02-16;1
BAGNOLO CREMASCO;2016-02-17;6
BAGNOLO CREMASCO;2016-02-18;5
BAGNOLO CREMASCO;2016-02-19;9
BAGNOLO CREMASCO;2016-02-20;1
BAGNOLO CREMASCO;2016-02-21;1
BAGNOLO CREMASCO;2016-02-22;6
BAGNOLO CREMASCO;2016-02-24;5
BAGNOLO CREMASCO;2016-02-25;2
BAGNOLO CREMASCO;2016-02-26;4
BAGNOLO CREMASCO;2016-02-27;1
BAGNOLO CREMASCO;2016-02-28;1
BAGNOLO CREMASCO;2016-02-29;4
BAGNOLO CREMASCO;2016-03-01;4
BAGNOLO CREMASCO;2016-03-02;6
BAGNOLO CREMASCO;2016-03-04;5
BAGNOLO CREMASCO;2016-03-05;3
BAGNOLO CREMASCO;2016-03-07;1
BAGNOLO CREMASCO;2016-03-08;7
BAGNOLO CREMASCO;2016-03-09;11
BAGNOLO CREMASCO;2016-03-10;2
BAGNOLO CREMASCO;2016-03-11;8
BAGNOLO CREMASCO;2016-03-13;1
BAGNOLO CREMASCO;2016-03-14;1
BAGNOLO CREMASCO;2016-03-15;8
BAGNOLO CREMASCO;2016-03-16;6
BAGNOLO CREMASCO;2016-03-17;3
BAGNOLO CREMASCO;2016-03-18;11
BAGNOLO CREMASCO;2016-03-19;2
BAGNOLO CREMASCO;2016-03-20;1
BAGNOLO CREMASCO;2016-03-21;1
